Rank,Title,Budget,Genre
201,The Croods,"$135,000,000",Adventure Animation Comedy Family Fantasy
202,The Hangover Part II,"$80,000,000",Comedy
203,Iron Man,"$140,000,000",Action Adventure Sci-Fi
204,I Am Legend,"$150,000,000",Drama Horror Sci-Fi Thriller
205,"Monsters, Inc.","$115,000,000",Adventure Animation Comedy Family Fantasy
206,Operation Red Sea,N/A,Action Drama Thriller War
207,Mission: Impossible - The Final Reckoning,N/A,Action Adventure Thriller
208,Night at the Museum,N/A,Adventure Comedy Family Fantasy
209,Godzilla x Kong: The New Empire,N/A,Action Adventure Fantasy Sci-Fi Thriller
210,Mission: Impossible - Dead Reckoning Part One,"$291,000,000",Action Adventure Thriller
211,Fifty Shades of Grey,"$40,000,000",Drama Romance Thriller
212,The Little Mermaid,N/A,Adventure Family Fantasy Musical Romance
213,Kong: Skull Island,"$185,000,000",Action Adventure Fantasy Sci-Fi
214,The Smurfs,"$110,000,000",Adventure Animation Comedy Family Fantasy
215,Cars 2,"$200,000,000",Adventure Animation Comedy Crime Family Sci-Fi Sport
216,King Kong,"$207,000,000",Action Adventure Romance
217,Puss in Boots,"$130,000,000",Action Adventure Animation Comedy Family Fantasy
218,The Mermaid,N/A,Comedy Drama Fantasy Romance
219,Armageddon,"$140,000,000",Action Adventure Sci-Fi Thriller
220,The Day After Tomorrow,"$125,000,000",Action Adventure Sci-Fi Thriller
221,Star Wars: Episode V - The Empire Strikes Back,"$18,000,000",Action Adventure Fantasy Sci-Fi
222,Ted,"$50,000,000",Comedy
223,Kung Fu Panda 4,N/A,Action Adventure Animation Comedy Family Fantasy Thriller
224,American Sniper,"$58,800,000",Action Biography Drama War
225,Mission: Impossible II,"$125,000,000",Action Adventure Thriller
226,Detective Chinatown 2,N/A,Action Comedy Mystery
227,Despicable Me,"$69,000,000",Adventure Animation Comedy Crime Family Sci-Fi
228,X-Men: Apocalypse,"$178,000,000",Action Adventure Sci-Fi
229,Sherlock Holmes: A Game of Shadows,N/A,Action Adventure Mystery
230,Cinderella,"$95,000,000",Adventure Drama Family Fantasy Romance
231,Madagascar,N/A,Adventure Animation Comedy Family
232,Hotel Transylvania 3: Summer Vacation,"$80,000,000",Adventure Animation Comedy Family Fantasy
